[x, y, w, h]=[219,189,302,281]
[x, y, w, h]=[98,249,167,415]
[x, y, w, h]=[1,251,40,351]

[x, y, w, h]=[145,198,230,265]
[x, y, w, h]=[55,201,146,256]
[x, y, w, h]=[220,189,302,282]
[x, y, w, h]=[79,250,157,415]
[x, y, w, h]=[2,255,35,346]

[x, y, w, h]=[57,201,149,255]
[x, y, w, h]=[151,199,227,265]
[x, y, w, h]=[221,189,302,281]
[x, y, w, h]=[80,252,150,415]
[x, y, w, h]=[1,256,30,345]

[x, y, w, h]=[62,200,155,254]
[x, y, w, h]=[221,190,302,280]
[x, y, w, h]=[75,251,141,415]
[x, y, w, h]=[153,199,224,264]
[x, y, w, h]=[0,255,25,350]

[x, y, w, h]=[67,199,155,255]
[x, y, w, h]=[157,199,234,264]
[x, y, w, h]=[221,189,302,281]
[x, y, w, h]=[73,250,135,415]

[x, y, w, h]=[72,199,156,254]
[x, y, w, h]=[161,199,237,264]
[x, y, w, h]=[221,189,302,282]
[x, y, w, h]=[70,251,128,415]

[x, y, w, h]=[77,200,159,254]
[x, y, w, h]=[168,199,235,263]
[x, y, w, h]=[50,248,122,415]
[x, y, w, h]=[221,189,302,281]

[x, y, w, h]=[77,199,165,255]
[x, y, w, h]=[171,199,233,262]
[x, y, w, h]=[53,250,117,413]
[x, y, w, h]=[221,189,301,282]

[x, y, w, h]=[80,198,169,254]
[x, y, w, h]=[173,199,231,261]
[x, y, w, h]=[50,253,110,414]
[x, y, w, h]=[220,189,300,283]

[x, y, w, h]=[41,258,102,412]
[x, y, w, h]=[92,201,174,255]
[x, y, w, h]=[176,198,231,262]
[x, y, w, h]=[219,191,300,283]

[x, y, w, h]=[89,200,175,256]
[x, y, w, h]=[42,253,96,407]
[x, y, w, h]=[180,199,231,261]
[x, y, w, h]=[220,192,300,284]

[x, y, w, h]=[90,199,176,256]
[x, y, w, h]=[19,255,87,412]
[x, y, w, h]=[192,192,304,274]

[x, y, w, h]=[94,199,179,255]
[x, y, w, h]=[20,257,80,411]
[x, y, w, h]=[193,193,303,274]

[x, y, w, h]=[97,199,183,255]
[x, y, w, h]=[16,255,75,411]
[x, y, w, h]=[189,197,232,258]
[x, y, w, h]=[220,192,300,285]

[x, y, w, h]=[103,198,187,255]
[x, y, w, h]=[13,256,69,413]
[x, y, w, h]=[218,192,301,284]
[x, y, w, h]=[190,198,232,258]
[x, y, w, h]=[0,210,26,261]

[x, y, w, h]=[105,198,188,254]
[x, y, w, h]=[12,257,64,412]
[x, y, w, h]=[217,193,302,284]
[x, y, w, h]=[193,200,233,256]
[x, y, w, h]=[72,188,95,211]

[x, y, w, h]=[108,198,190,254]
[x, y, w, h]=[216,192,305,283]
[x, y, w, h]=[197,200,232,255]
[x, y, w, h]=[71,186,95,211]
[x, y, w, h]=[0,206,29,258]
[x, y, w, h]=[10,258,63,407]

[x, y, w, h]=[111,199,192,254]
